# z	N(z)
0.0125	83
0.0375	57
0.0625	92
0.0875	92
0.1125	92
0.1375	86
0.1625	29
0.1875	28
0.2125	65
0.2375	35
0.2625	32
0.2875	5
0.3125	6
0.3375	6
0.3625	6
0.3875	10
0.4125	11
0.4375	23
0.4625	115
0.4875	113
0.5125	168
0.5375	205
0.5625	173
0.5875	370
0.6125	790
0.6375	820
0.6625	2555
0.6875	2330
0.7125	2129
0.7375	2624
0.7625	2000
0.7875	2007
0.8125	2730
0.8375	3189
0.8625	2617
0.8875	1500
0.9125	2057
0.9375	3054
0.9625	2390
0.9875	2161
1.0125	1665
1.0375	735
1.0625	894
1.0875	1250
1.1125	1570
1.1375	1583
1.1625	951
1.1875	1565
1.2125	883
1.2375	1092
1.2625	758
1.2875	568
1.3125	435
1.3375	490
1.3625	544
1.3875	596
1.4125	569
1.4375	748
1.4625	806
1.4875	645
1.5125	416
1.5375	325
1.5625	296
1.5875	406
1.6125	372
1.6375	238
1.6625	192
1.6875	155
1.7125	192
1.7375	295
1.7625	339
1.7875	399
1.8125	310
1.8375	245
1.8625	168
1.8875	140
1.9125	219
1.9375	191
1.9625	283
1.9875	273
2.0125	268
2.0375	170
2.0625	166
2.0875	70
2.1125	62
2.1375	90
2.1625	55
2.1875	46
2.2125	33
2.2375	51
2.2625	32
2.2875	42
2.3125	30
2.3375	42
2.3625	39
2.3875	14
2.4125	5
2.4375	7
2.4625	25
2.4875	9
2.5125	8
2.5375	30
2.5625	30
2.5875	22
2.6125	28
2.6375	14
2.6625	3
2.6875	5
2.7125	13
2.7375	11
2.7625	4
2.7875	1
2.8125	4
2.8375	10
2.8625	1
2.8875	1
2.9125	2
2.9375	5
2.9625	5
2.9875	0
3.0125	1
3.0375	0
3.0625	1
3.0875	0
3.1125	1
3.1375	0
3.1625	0
3.1875	2
3.2125	0
3.2375	0
3.2625	1
3.2875	0
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	0
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	0
3.7625	0
3.7875	0
3.8125	0
3.8375	0
3.8625	0
3.8875	0
3.9125	0
3.9375	0
3.9625	0
3.9875	1
4.0125	0
4.0375	3
4.0625	4
4.0875	0
4.1125	6
4.1375	3
4.1625	0
4.1875	4
4.2125	0
4.2375	0
4.2625	2
4.2875	0
4.3125	0
4.3375	1
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	0
4.4875	0
4.5125	0
4.5375	1
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	4
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	0
